"first_name","last_name","hire_date"
"Shem","Petersohn","07-08-1986"
"Mokhtar","Chiodo","04-06-1986"
"Serif","Streit","03-17-1986"
"Teiji","Marrakchi","08-26-1986"
"Nathan","Denny","09-16-1986"
"Hauke","Giaccio","12-12-1986"
"Aral","Baik","03-29-1986"
"Seongbin","Poupard","09-29-1986"
"Tze","Chinin","09-22-1986"
"Joydip","Terkki","03-01-1986"
"Jeanne","Zlotek","09-03-1986"
"Mikhail","Karner","05-15-1986"
"Guenter","Schneeberger","04-20-1986"
"Boriana","Mukaidono","08-27-1986"
"Kristen","Avouris","09-13-1986"
"Insup","Copas","01-03-1986"
"Mayumi","Wuwongse","11-20-1986"
"Dipankar","Riesenhuber","11-25-1986"
"Shichao","Syrzycki","01-10-1986"
"Marin","Sidje","10-24-1986"
"Shaw","Nilsson","01-01-1987"
"Boguslaw","Luks","05-07-1986"
"Shigeu","Kieras","01-30-1986"
"Isamu","Kobuchi","02-02-1986"
"Xuedong","Sgarro","12-24-1986"
"Ghassan","Walston","06-15-1986"
"Armond","Karunanithi","11-13-1986"
"Munehiko","Beznosov","01-03-1986"
"Kristen","Salverda","07-29-1986"
"Kwok","Valiente","12-30-1986"
"Mikhail","Salvesen","08-09-1986"
"Jaques","Usery","01-11-1986"
"Gunilla","Legleitner","11-15-1986"
"Ibibia","Dayang","01-29-1986"
"Richard","Godskesen","03-22-1986"
"Rimli","Bellone","02-03-1986"
"Hisao","Lodder","05-08-1986"
"Pascal","Leslie","12-22-1986"
"Jianwen","Baranowski","05-09-1986"
"Gennadi","Beznosov","06-25-1986"
"Serge","Sifakis","06-07-1986"
"Yuuichi","Sadowski","02-22-1986"
"Filipe","Ramamoorthy","11-02-1986"
"Billur","Fiutem","06-11-1986"
"Vidya","Dymetman","01-01-1986"
"Sigeru","Langford","05-17-1986"
"Marjo","Cools","12-04-1986"
"Boriana","Wendorf","10-06-1986"
"Shai","Olano","11-15-1986"
"Boalin","Zhang","12-23-1986"
"Mario","Narahari","02-12-1986"
"Naftali","Syang","01-28-1986"
"Lijia","Birta","02-01-1986"
"Uli","Ranum","02-26-1986"
"Gay","Khamsi","05-27-1986"
"Arne","Geffroy","09-07-1986"
"Mrinalini","Muntz","04-28-1986"
"Feipei","Ligten","04-29-1986"
"Charlene","Fabrizio","02-13-1986"
"Kazuyasu","Pileggi","01-16-1986"
"Temple","Zastre","07-22-1986"
"Guther","Huxford","11-20-1986"
"Yinghua","Petersohn","09-25-1986"
"Steve","Munoz","12-10-1986"
"Mads","Ramalingam","08-01-1986"
"Xuedong","Fujisaki","03-09-1986"
"Beshir","Serre","12-08-1986"
"Ottavia","Perl","07-01-1986"
"Abdelwaheb","Basawa","10-28-1986"
"Xuedong","Rossi","04-12-1986"
"Shawna","Leuchs","09-08-1986"
"Harngdar","Gire","02-11-1986"
"Constantine","Hedayat","12-02-1986"
"Barton","Jenevein","03-24-1986"
"Clyde","Perly","09-10-1986"
"Yunming","Papsdorf","12-29-1986"
"Tsz","Suppi","03-08-1986"
"Georgi","Osgood","10-26-1986"
"Sandeepan","Sessa","06-22-1986"
"Ramzi","Thiria","12-14-1986"
"Demos","Bahi","10-05-1986"
"Boriana","Lunn","08-06-1986"
"Ziya","Cronau","09-14-1986"
"Lalit","Pellegrinelli","08-29-1986"
"Sedat","Kuhnemann","06-02-1986"
"Shay","Ranon","10-06-1986"
"Mansur","Weiland","07-19-1986"
"Zhanqiu","Merkl","07-21-1986"
"Samphel","Tchuente","06-23-1986"
"Gao","Zizka","10-24-1986"
"Masali","Dichev","02-02-1986"
"Yurii","Tetzlaff","12-26-1986"
"Adin","Kleiser","08-28-1986"
"Conor","Hofting","07-03-1986"
"Petter","Serra","07-05-1986"
"Jamaludin","Remmele","06-14-1986"
"Vasilii","Karunanithi","10-15-1986"
"Boutros","Lorys","07-15-1986"
"Jiakeng","Suermann","08-07-1986"
"Petter","Thummel","09-16-1986"
"Kwok","Puoti","08-27-1986"
"Lihong","Munke","04-13-1986"
"Khue","Ramsak","08-10-1986"
"Udo","Tetzlaff","04-09-1986"
"Christoph","Stavenow","04-12-1986"
"Yuichiro","Lund","01-28-1986"
"Danel","Danecki","05-04-1986"
"Kenroku","Piazza","11-02-1986"
"Lijia","Selvestrel","05-31-1986"
"Bodo","Bergere","05-14-1986"
"Shridhar","Krychniak","11-02-1986"
"Maik","Sevcikova","04-12-1986"
"Temple","Alpin","08-31-1986"
"Arnould","Farrar","03-01-1986"
"Arco","Granlund","11-22-1986"
"Quingbo","Leijenhorst","02-17-1986"
"Wojceich","Benveniste","06-23-1986"
"Charlene","Steenbeek","07-19-1986"
"Fumino","Biran","02-10-1986"
"Youssef","Zeidenstein","10-26-1986"
"Danae","Hebert","10-11-1986"
"Teruyuki","Angelov","11-08-1986"
"Maren","Parascandalo","07-06-1986"
"JoAnne","Caine","10-15-1986"
"Jayson","Zumaque","02-26-1986"
"Hilary","Ghazalie","05-04-1986"
"Pradeep","Genther","11-25-1986"
"Woody","Guerreiro","10-09-1986"
"Kensei","Gist","12-17-1986"
"Zvonko","Boguraev","12-28-1986"
"Yongmin","Kusakabe","01-26-1986"
"Lihong","Zwicker","09-03-1986"
"Dietrich","Farrow","02-16-1986"
"Rosalyn","Picaronny","12-07-1986"
"Jingling","Schaaf","06-29-1986"
"Wojceich","Bugaenko","09-03-1986"
"Gill","Liesche","02-27-1986"
"Yoshimitsu","Sgarro","08-26-1986"
"Toong","Mitchem","02-05-1986"
"Hercules","Ghalwash","10-12-1986"
"Keiichiro","Szilard","08-05-1986"
"Kellyn","Brookman","03-25-1986"
"Monique","Radwan","09-10-1986"
"Souichi","Fasbender","12-11-1986"
"Xiping","Sewelson","09-16-1986"
"Gil","Teitelbaum","07-16-1986"
"Jaideep","Whittlesey","09-30-1986"
"Hilari","Fairtlough","11-11-1986"
"Zejun","Massonet","10-20-1986"
"Amstein","Kugler","09-02-1986"
"Atreyi","Rousseau","04-13-1986"
"Behnaam","Docker","02-25-1986"
"Duangkaew","Baaz","12-17-1986"
"Shigehito","Matzat","08-07-1986"
"Giordano","Bultermann","06-01-1986"
"Ute","Ferriere","12-01-1986"
"Fuqing","Valette","03-10-1986"
"Avishai","Brodie","05-10-1986"
"Vishwani","Thorensen","07-19-1986"
"Shugo","Reghbati","11-10-1986"
"Roselyn","Rosin","02-16-1986"
"Ayakannu","Krogh","08-02-1986"
"Qunsheng","Hanratty","12-14-1986"
"Sven","Veccia","03-07-1986"
"Ennio","Eterovic","12-16-1986"
"Sadegh","Katalagarianos","01-28-1986"
"Neelam","Camurati","01-31-1986"
"Mani","Bolsens","04-04-1986"
"Ohad","Sridhar","08-05-1986"
"Suzette","Schneeberger","11-23-1986"
"Mizuhito","Heping","11-11-1986"
"Paraskevi","Merlo","05-02-1986"
"Arunachalam","Milicia","10-27-1986"
"Nechama","Yeung","02-02-1986"
"Alselm","Foote","05-01-1986"
"Tsutomu","Baik","04-22-1986"
"Leni","Osgood","08-05-1986"
"Petter","Talmon","08-17-1986"
"Mang","Basawa","02-10-1986"
"Basem","Smailagic","11-09-1986"
"Takahira","Kusalik","12-06-1986"
"Berthier","Pietrzykowski","06-30-1986"
"Oldrich","Rotem","03-06-1986"
"Kerhong","Rothenberg","03-07-1986"
"Deborah","Ferretti","12-17-1986"
"Xiaobin","Kitsuregawa","06-30-1986"
"Dekang","Prampolini","11-17-1986"
"Maria","Taubenfeld","12-15-1986"
"Mohan","Sadowski","07-30-1986"
"Xinyu","Heusch","04-21-1986"
"Ioana","Gecsei","03-11-1986"
"Alejandra","Doering","02-24-1986"
"Arup","Hemaspaandra","05-18-1986"
"Leon","Ruther","02-17-1986"
"Yuping","Hofman","09-03-1986"
"Mani","Barreiro","12-25-1986"
"Tonia","Jenevein","09-25-1986"
"Kristin","Schlegelmilch","01-21-1986"
"Maren","Hellwagner","05-08-1986"
"Bodo","Schade","02-14-1986"
"Eckart","Burnard","12-30-1986"
"Stepehn","Luca","10-09-1986"
"Fabrizio","Erol","02-28-1986"
"Lokesh","Kulisch","04-22-1986"
"Abdelkader","Welham","08-12-1986"
"Khun","Kobara","01-11-1986"
"Jackson","Lorch","12-05-1986"
"Gal","Melski","10-12-1986"
"Xuejun","Baig","05-30-1986"
"Amalendu","Gronowski","12-26-1986"
"Aamer","Belinskaya","12-13-1986"
"Jaideep","Chinal","04-30-1986"
"Kazuhira","Holburn","11-04-1986"
"Masaki","Cyre","09-20-1986"
"Kiyokazu","Copas","08-24-1986"
"Theron","Aamodt","03-16-1986"
"Takushi","Georg","02-13-1986"
"Aiichiro","Poupard","05-30-1986"
"Alassane","Conte","07-31-1986"
"Jamaludin","Masamoto","01-26-1986"
"Shahid","Tanemo","05-29-1986"
"Oksana","Riesenhuber","06-05-1986"
"Xuejun","Marrevee","09-03-1986"
"Youngkon","Kugler","06-24-1986"
"Mohan","Auyong","02-05-1986"
"Jiafu","Gulak","05-13-1986"
"Piyawadee","England","06-06-1986"
"Genta","Baca","08-21-1986"
"Gil","Roisin","10-15-1986"
"Parke","Marquardt","04-29-1986"
"Boguslaw","Wolniewicz","08-26-1986"
"Jinpo","Pusterhofer","04-19-1986"
"Junsik","Griswold","05-30-1986"
"Oldrich","Holburn","05-31-1986"
"Manu","Ellozy","11-18-1986"
"Kankanahalli","Tokunaga","11-14-1986"
"Leaf","Soicher","08-21-1986"
"Tua","Kadhim","09-01-1986"
"Bojan","Diderrich","04-16-1986"
"Haldon","Schoegge","06-07-1986"
"Radhakrishnan","Antonisse","09-12-1986"
"Abdelaziz","Klyachko","01-20-1986"
"Elvis","Kohling","02-25-1986"
"Frederique","Toyoshima","05-03-1986"
"Otilia","Ritzmann","06-22-1986"
"Sumant","Rossi","03-27-1986"
"Takahiro","Shinomoto","04-30-1986"
"Olivera","Langford","02-19-1986"
"Laurentiu","Halevi","06-17-1986"
"Herb","Gewali","11-11-1986"
"Renny","Zuberek","08-01-1986"
"Taiji","Segond","06-23-1986"
"Xinan","Yamaashi","01-29-1986"
"Kaijung","Raney","10-16-1986"
"Bader","Pellegrinelli","11-19-1986"
"Reuven","Asmuth","12-20-1986"
"Christoph","Gulik","02-17-1986"
"Boaz","Belinskaya","03-16-1986"
"Mayumi","Czap","01-16-1986"
"Marla","Baar","06-16-1986"
"Conrado","Deville","06-04-1986"
"Giri","Basagni","11-14-1986"
"Torsten","Lienhardt","08-19-1986"
"Gila","Lamma","07-17-1986"
"Christoper","Shackel","06-03-1986"
"Mari","Waschkowski","05-05-1986"
"Maris","Dratva","11-04-1986"
"Wanqing","Vidal","04-28-1986"
"Niclas","Buchter","03-29-1986"
"Zhigen","Aseltine","01-23-1986"
"Marit","McDermid","08-20-1986"
"DAIDA","Bruckman","10-16-1986"
"Augustine","Gomatam","07-23-1986"
"Howell","Takkinen","06-02-1986"
"Mari","Kambil","08-26-1986"
"Hideo","Maquelin","04-19-1986"
"Filipe","Muhlberg","09-23-1986"
"Douadi","Schwaller","11-30-1986"
"Taiji","Lorie","07-19-1986"
"Abdulla","Gerlach","06-13-1986"
"Yucel","Kowalchuk","05-29-1986"
"Parto","Poupard","02-19-1986"
"Kinh","Dengi","09-10-1986"
"Christoph","Lovengreen","08-24-1986"
"Weicheng","Parascandalo","06-02-1986"
"Irene","Kolvik","11-09-1986"
"Youjian","Chiola","12-12-1986"
"Karsten","Geffroy","08-13-1986"
"Stabislas","Luit","02-23-1986"
"Pragnesh","Acton","11-04-1986"
"Gennadi","Soicher","02-20-1986"
"Paddy","Gien","03-14-1986"
"Vishwani","Erdmenger","02-03-1986"
"Zongyan","Jeansoulin","08-01-1986"
"Elrique","Ravishankar","09-05-1986"
"Guadalupe","Stavenow","03-30-1986"
"Tsvetan","Stranks","05-20-1986"
"Khue","Keohane","07-20-1986"
"Tayeb","Grospietsch","11-30-1986"
"Jingling","Kavanagh","04-17-1986"
"Jordanka","Stentiford","05-05-1986"
"Eishiro","Khalil","10-13-1986"
"Ravishankar","Erez","06-22-1986"
"Tzvetan","Zweizig","03-14-1986"
"Heather","Hitomi","05-23-1986"
"Howell","Kruskal","07-14-1986"
"Serif","Adachi","02-17-1986"
"Vugranam","Roohalamini","06-12-1986"
"Goo","Wroclawski","12-14-1986"
"Subir","Matzel","06-20-1986"
"Olivera","Swiss","12-02-1986"
"Demin","Byoun","03-07-1986"
"Munir","Veldwijk","03-17-1986"
"Freyja","Jiafu","03-23-1986"
"Mahmut","Skafidas","03-16-1986"
"KayLiang","Fargier","02-23-1986"
"Billie","Macedo","10-03-1986"
"Srinidhi","Vickson","06-07-1986"
"Boutros","Ozeri","07-19-1986"
"Miyeon","Ullian","10-19-1986"
"Make","Schaad","10-08-1986"
"Pranjal","Mukaidono","06-15-1986"
"Jungsoon","Fadgyas","06-21-1986"
"Amabile","Schaaf","08-28-1986"
"Nevin","Fadgyas","02-18-1986"
"Chuanyi","Schaad","09-25-1986"
"Mingsen","Sidou","08-11-1986"
"Khaled","Panwar","07-06-1986"
"Satosi","Kakkad","10-21-1986"
"Ebbe","Ermel","06-15-1986"
"Adly","Pelc","01-11-1986"
"Anyuan","Bierman","06-13-1986"
"Aamod","Shumilov","09-18-1986"
"Vasilis","Szilard","07-29-1986"
"Flemming","Baba","02-12-1986"
"Shigenori","Fadgyas","12-02-1986"
"Bodh","Moehrke","01-11-1986"
"Ingmar","Massonet","03-31-1986"
"Freyja","Chinal","11-08-1986"
"Genki","Kragelund","03-28-1986"
"Niteen","Ruther","12-11-1986"
"Vidya","Lambe","07-16-1986"
"Debatosh","Botman","03-15-1986"
"Kiam","Botman","11-17-1986"
"Akemi","Salvesen","11-14-1986"
"Takushi","Kalorkoti","06-21-1986"
"Mitsuyuki","Jarecki","01-12-1986"
"Anyuan","Cannane","02-02-1986"
"Akemi","Fujisaki","12-16-1986"
"Zita","Feinberg","04-21-1986"
"Erez","Picaronny","12-22-1986"
"Karlis","Merkl","05-05-1986"
"Alejandro","Liesche","09-08-1986"
"Lucien","Riesenhuber","09-04-1986"
"Akhilish","Kamber","04-29-1986"
"Jaideep","Koshiba","09-16-1986"
"Valeri","Kossowski","03-04-1986"
"Martina","Perfilyeva","01-12-1986"
"Toong","Shinomoto","01-27-1986"
"Boutros","Chiodo","08-10-1986"
"Chrisa","Zeleznik","12-09-1986"
"Kazuhisa","Underwood","05-29-1986"
"Luerbio","Nilsson","11-17-1986"
"Jiang","Angelov","12-12-1986"
"Teiji","Chartres","04-04-1986"
"Goetz","Anido","10-26-1986"
"Tomokazu","Muhlberg","12-18-1986"
"Ult","Eugenio","07-11-1986"
"Mohd","Fujisawa","09-07-1986"
"Martial","Molenaar","03-30-1986"
"Masamitsu","Hiraishi","04-10-1986"
"Conrado","Rettelbach","03-20-1986"
"Thodoros","Luders","11-09-1986"
"Tuval","Lamparter","11-06-1986"
"Demin","Daescu","09-19-1986"
"Ziva","Fiutem","01-28-1986"
"Yagil","Apsitis","09-18-1986"
"Khalil","Bolsens","08-04-1986"
"Krisda","Thibadeau","03-08-1986"
"Tomokazu","Yetim","07-06-1986"
"Georgy","Bouloucos","10-16-1986"
"Samphel","Uehara","09-29-1986"
"Mansur","Riesenhuber","09-15-1986"
"Reinhold","Perz","05-15-1986"
"Flemming","Kavanagh","11-03-1986"
"Serge","Chaudhury","01-04-1986"
"Demin","Silva","04-27-1986"
"Rasikan","Beetstra","03-05-1986"
"Kamakshi","Chachaty","08-27-1986"
"Yuguang","Marquardt","12-27-1986"
"Heather","Ratzlaff","02-08-1986"
"Yinghua","Baca","03-16-1986"
"Kwee","Snedden","06-20-1986"
"Masanao","Smeets","04-06-1986"
"Juichirou","Marshall","02-22-1986"
"Mooi","Casley","10-29-1986"
"Denny","Ozeki","11-17-1986"
"Chriss","Genther","08-25-1986"
"Jiann","McFarlan","02-04-1986"
"Gila","Schreiter","07-06-1986"
"Rasiah","Bouloucos","02-16-1986"
"Dung","Zongker","05-29-1986"
"Karlis","Chimia","12-12-1986"
"Elliott","Pluym","04-23-1986"
"Elzbieta","Thiria","03-21-1986"
"Zongyan","Linares","04-15-1986"
"Moto","Christianini","05-03-1986"
"Susanta","Avouris","07-16-1986"
"Salvador","Berstel","02-05-1986"
"Quingbo","Schurmann","08-31-1986"
"Kwun","Figueira","05-27-1986"
"Pranav","Chenney","01-16-1986"
"Freyja","Oaver","10-21-1986"
"Kiyotoshi","Klyachko","04-13-1986"
"Douadi","Khalil","09-08-1986"
"Bowen","Alvarado","10-30-1986"
"Ipke","Daescu","11-18-1986"
"Xiaobin","Crooks","05-17-1986"
"Oscar","Masaki","07-26-1986"
"Jordanka","Demizu","05-08-1986"
"Zine","Radhakrishnan","11-19-1986"
"Nathan","Haldar","06-11-1986"
"Khoa","Maierhofer","08-14-1986"
"Sushant","Reghbati","09-08-1986"
"Pasqua","Borstler","04-11-1986"
"Yoshinari","Pollacia","01-29-1986"
"Remmert","Feldhoffer","04-01-1986"
"Palash","Onuegbe","02-03-1986"
"Shawna","Bardell","10-23-1986"
"Pasqua","Marzano","09-05-1986"
"Shaowei","Nicolson","07-19-1986"
"Junichi","Trelles","12-05-1986"
"Mamdouh","Ghandeharizadeh","01-08-1986"
"Magy","Assaf","07-07-1986"
"Woody","Yavatkar","10-14-1986"
"Hidde","Akiyama","02-15-1986"
"Berni","Zeleznik","08-23-1986"
"Boaz","Giveon","10-19-1986"
"Gino","Pashtan","08-03-1986"
"Berhard","Tasistro","02-20-1986"
"Xianlong","Knightly","05-09-1986"
"Conor","Quaggetto","10-08-1986"
"Atreye","Redmiles","01-21-1986"
"Qunsheng","Birrer","05-13-1986"
"Goh","Benaini","04-03-1986"
"Giap","Krychniak","04-05-1986"
"Bernd","Speek","12-20-1986"
"Taiji","Hainaut","02-03-1986"
"Lalit","Colorni","08-11-1986"
"Zorica","Hiroyama","06-16-1986"
"Girolamo","Streit","02-07-1986"
"Hailing","Foote","04-21-1986"
"Jaewoo","Ratnaker","06-02-1986"
"Toshimori","Cronin","08-24-1986"
"Frazer","Pellegrinelli","05-23-1986"
"Dulce","Meszaros","04-25-1986"
"Kerryn","Fargier","06-13-1986"
"Aksel","Weiland","08-26-1986"
"Frazer","Pleszkun","06-19-1986"
"Valeska","Katalagarianos","03-08-1986"
"Mohua","Marchesini","08-20-1986"
"Susumu","Foote","05-21-1986"
"Youjian","Ranta","07-04-1986"
"Pranay","Perez","05-13-1986"
"Sastry","Jonsson","05-01-1986"
"Goetz","Hitomi","08-29-1986"
"Kazunori","Pepe","09-11-1986"
"Baziley","Motley","02-20-1986"
"Gadiel","Krychniak","02-20-1986"
"Goetz","Melichar","11-09-1986"
"Ghassan","Sgarro","07-12-1986"
"Danel","Laurillard","06-23-1986"
"Ottavia","Ventosa","01-04-1986"
"Gilbert","Trelles","09-22-1986"
"Jeanne","Hettesheimer","02-16-1986"
"Mayuri","Bernick","12-17-1986"
"Ronnie","Rathonyi","02-19-1986"
"Khalil","Percebois","03-13-1986"
"Leandro","Bondorf","09-05-1986"
"Tetsurou","Zschoche","10-27-1986"
"Xiadong","Huxford","01-11-1986"
"Chriss","Baez","09-22-1986"
"Weiye","Bierman","06-19-1986"
"Yifei","Merli","06-07-1986"
"Siddarth","Baca","11-05-1986"
"Stevo","Riexinger","09-28-1986"
"Richard","Borovoy","01-23-1986"
"Guangming","Takkinen","05-24-1986"
"Shuky","Gente","09-16-1986"
"Shao","Ramsak","04-07-1986"
"Fumiyo","DuCasse","10-01-1986"
"Eirik","Paludetto","06-09-1986"
"Olivera","Landherr","06-23-1986"
"Irena","Rikino","03-08-1986"
"Premal","Hanratty","09-08-1986"
"Stafford","Panangaden","12-21-1986"
"Garnik","Litzkow","10-01-1986"
"Moon","Schwabacher","05-19-1986"
"Sakthirel","Ramsak","09-04-1986"
"Maia","Levasseur","12-12-1986"
"Weiwu","Selenyi","02-17-1986"
"Yurii","Ranst","11-01-1986"
"Teiji","Wuwongse","07-18-1986"
"Hsiangchu","Biros","08-02-1986"
"Toshimori","Straney","03-10-1986"
"Renee","Basart","10-30-1986"
"Arvin","Rajaraman","06-23-1986"
"Gao","Poehlman","11-26-1986"
"Niclas","Dalphin","01-25-1986"
"Cordelia","Schwabacher","06-19-1986"
"Hitomi","Herber","02-02-1986"
"Koldo","Detkin","06-28-1986"
"Olivera","Shumilov","03-19-1986"
"Elgin","Setia","04-12-1986"
"Doowon","Setlzner","10-22-1986"
"Marin","Heijenga","10-25-1986"
"Shahar","Murtha","06-06-1986"
"Anyuan","Hoppenstand","03-24-1986"
"Bader","Chorvat","03-26-1986"
"Abdulla","Ponthieu","10-10-1986"
"Zeydy","Ladret","07-19-1986"
"Alain","Linnainmaa","09-17-1986"
"Premsyl","Casperson","11-05-1986"
"Chiradeep","Ciolek","12-10-1986"
"Gou","Gammage","02-19-1986"
"Olivera","Thibadeau","12-23-1986"
"Tse","Kalsbeek","02-25-1986"
"Miomir","Mansanne","08-22-1986"
"Subbu","Begiun","07-21-1986"
"Parke","Deville","12-10-1986"
"Elzbieta","Thorensen","06-20-1986"
"Clyde","Swift","03-14-1986"
"Subir","Suessmith","01-05-1986"
"Sanjiv","Uehara","09-13-1986"
"Eldridge","Papadias","08-19-1986"
"Szabolcs","Usdin","12-17-1986"
"Mack","Erdi","09-29-1986"
"Shirish","Osgood","06-10-1986"
"Francesca","Basawa","02-05-1986"
"Spyrose","Parhami","10-01-1986"
"Stamatina","Valtorta","11-25-1986"
"Mrinalini","Hennebert","02-08-1986"
"Odinaldo","Giaccio","10-09-1986"
"Tetsushi","Melski","11-08-1986"
"Evgueni","Marshall","11-18-1986"
"Bodh","Hiltgen","06-16-1986"
"Lobel","Zuberek","08-04-1986"
"Pranjal","Worfolk","09-09-1986"
"Satoru","Porotnikoff","10-20-1986"
"Xiong","Peot","04-29-1986"
"Trygve","Birdsall","09-10-1986"
"Sangeeta","Rosar","10-12-1986"
"Morrie","Smeets","01-06-1986"
"Kwangsub","Shimshoni","12-13-1986"
"Lorien","Kaelbling","04-18-1986"
"Vitaly","Ulupinar","01-17-1986"
"Gopalakrishnan","Baba","12-15-1986"
"Macha","Chartres","02-24-1986"
"Gaetan","Farrar","07-12-1986"
"Zhiwei","Selvestrel","10-13-1986"
"Patricia","Ullian","04-15-1986"
"Uwe","Callaway","05-09-1986"
"Suzette","Schlegelmilch","01-22-1986"
"Henk","Peltason","05-30-1986"
"Tzvetan","Picel","06-07-1986"
"Cedric","Kalefeld","12-25-1986"
"Sampalli","Ramaiah","09-24-1986"
"Fabrizio","Marletta","03-27-1986"
"Giri","Egerstedt","09-24-1986"
"Greger","Anily","03-08-1986"
"Sajjan","Dahlbom","06-30-1986"
"Jixiang","Marwedel","11-12-1986"
"Arnould","Kavvadias","01-03-1986"
"Gianluca","Sevcikova","07-11-1986"
"Alain","Gyorkos","04-30-1986"
"Kayoko","Walston","06-13-1986"
"Mohammad","Yoshimura","08-01-1986"
"Takahiro","Milicia","10-13-1986"
"Heon","Thorelli","08-02-1986"
"Nectarios","Maliniak","01-16-1986"
"Lobel","Barvinok","05-07-1986"
"Nigel","Iacovou","11-28-1986"
"Xumin","Conta","04-03-1986"
"Jouni","Boreale","12-30-1986"
"Mahmut","Peris","01-06-1986"
"Ger","Cooke","11-06-1986"
"Wilmer","Lamparter","10-28-1986"
"Rimli","Ouhyoung","03-10-1986"
"Samphel","Ghemri","11-24-1986"
"Weiru","Swift","07-22-1986"
"Munenori","Marrevee","02-28-1986"
"Marin","Zirintsis","06-20-1986"
"Goa","Osgood","02-08-1986"
"Sastry","Hitomi","07-31-1986"
"Indrajit","Peck","06-16-1986"
"Khedija","Schaad","10-02-1986"
"Boaz","Melichar","09-05-1986"
"Aluzio","Georgakopoulos","03-25-1986"
"Supot","Oaver","03-15-1986"
"Hatem","Asser","02-28-1986"
"Poornachandra","Sudbeck","08-13-1986"
"Arnd","Yamaashi","10-14-1986"
